production,lag_1,lag_2,lag_3
64.5645,66.0229,71.82,85.6945
65.01,64.5645,66.0229,71.82
67.6467,65.01,64.5645,66.0229
69.0429,67.6467,65.01,64.5645
70.837,69.0429,67.6467,65.01
75.0462,70.837,69.0429,67.6467
106.9289,75.0462,70.837,69.0429
105.5962,106.9289,75.0462,70.837
105.9673,105.5962,106.9289,75.0462
91.2997,105.9673,105.5962,106.9289
77.27,91.2997,105.9673,105.5962
69.611,77.27,91.2997,105.9673
70.2986,69.611,77.27,91.2997
71.6822,70.2986,69.611,77.27
74.8635,71.6822,70.2986,69.611
72.0464,74.8635,71.6822,70.2986
73.1748,72.0464,74.8635,71.6822
80.5915,73.1748,72.0464,74.8635
102.92,80.5915,73.1748,72.0464
109.2524,102.92,80.5915,73.1748
105.221,109.2524,102.92,80.5915
88.6985,105.221,109.2524,102.92
83.6098,88.6985,105.221,109.2524
77.23,83.6098,88.6985,105.221
67.3209,77.23,83.6098,88.6985
74.6196,67.3209,77.23,83.6098
79.5858,74.6196,67.3209,77.23
66.0568,79.5858,74.6196,67.3209
71.1864,66.0568,79.5858,74.6196
70.175,71.1864,66.0568,79.5858
99.2212,70.175,71.1864,66.0568
101.1201,99.2212,70.175,71.1864
86.893,101.1201,99.2212,70.175
67.0117,86.893,101.1201,99.2212
52.6964,67.0117,86.893,101.1201
50.6689,52.6964,67.0117,86.893
59.7613,50.6689,52.6964,67.0117
60.8277,59.7613,50.6689,52.6964
63.3629,60.8277,59.7613,50.6689
62.3089,63.3629,60.8277,59.7613
66.9021,62.3089,63.3629,60.8277
66.32,66.9021,62.3089,63.3629
96.3411,66.32,66.9021,62.3089
105.6285,96.3411,66.32,66.9021
102.1819,105.6285,96.3411,66.32
87.9578,102.1819,105.6285,96.3411
75.1878,87.9578,102.1819,105.6285
62.0101,75.1878,87.9578,102.1819
64.4758,62.0101,75.1878,87.9578
70.5454,64.4758,62.0101,75.1878
68.2086,70.5454,64.4758,62.0101
69.3122,68.2086,70.5454,64.4758
71.5922,69.3122,68.2086,70.5454
76.9073,71.5922,69.3122,68.2086
107.9049,76.9073,71.5922,69.3122
111.6584,107.9049,76.9073,71.5922
113.9655,111.6584,107.9049,76.9073
97.3515,113.9655,111.6584,107.9049
90.0083,97.3515,113.9655,111.6584
77.2871,90.0083,97.3515,113.9655
76.0459,77.2871,90.0083,97.3515
77.9316,76.0459,77.2871,90.0083
78.3077,77.9316,76.0459,77.2871
75.8701,78.3077,77.9316,76.0459
78.1822,75.8701,78.3077,77.9316
84.2727,78.1822,75.8701,78.3077
109.2254,84.2727,78.1822,75.8701
106.1656,109.2254,84.2727,78.1822
113.0575,106.1656,109.2254,84.2727
90.1141,113.0575,106.1656,109.2254
80.4678,90.1141,113.0575,106.1656
76.464,80.4678,90.1141,113.0575
77.4211,76.464,80.4678,90.1141
76.7081,77.4211,76.464,80.4678
78.1769,76.7081,77.4211,76.464
72.4653,78.1769,76.7081,77.4211
75.9054,72.4653,78.1769,76.7081
82.732,75.9054,72.4653,78.1769
105.0435,82.732,75.9054,72.4653
111.6915,105.0435,82.732,75.9054
114.0821,111.6915,105.0435,82.732
98.6382,114.0821,111.6915,105.0435
84.7727,98.6382,114.0821,111.6915
81.0653,84.7727,98.6382,114.0821
77.1607,81.0653,84.7727,98.6382
78.378,77.1607,81.0653,84.7727
